,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
114,Mandi Croods,https://www.zomato.com/visakhapatnam/mandi-croods-chinna-waltair-vizag/order,3.8,₹300 for one,"Biryani, Fast Food, Arabian"
115,Ovenstory Pizza,https://www.zomato.com/visakhapatnam/ovenstory-pizza-dwaraka-nagar-vizag/order,4.0,₹300 for one,"Pizza, Fast Food"
116,Kritunga,https://www.zomato.com/visakhapatnam/kritunga-dwaraka-nagar-vizag/order,3.6,₹300 for one,"Biryani, North Indian"
117,Sri Chiru Food Court,https://www.zomato.com/visakhapatnam/sri-chiru-food-court-akkayyapalem-vizag/order,3.4,₹200 for one,"Chinese, Sichuan"
118,Arabian Shawarma,https://www.zomato.com/visakhapatnam/arabian-shawarma-sagar-nagar-vizag/order,3.7,₹200 for one,"Rolls, Fast Food"
119,DFC - Deccan Fried Chicken,https://www.zomato.com/visakhapatnam/dfc-deccan-fried-chicken-madhavadhara-vizag/order,3.9,₹200 for one,"Fast Food, Burger, Pizza, Beverages"
120,Arun's Paradise Restaurant,https://www.zomato.com/visakhapatnam/aruns-paradise-restaurant-mvp-colony-vizag/order,3.7,₹200 for one,"Biryani, North Indian, Chinese, Sichuan"
121,Golden Alfa Biryani's,https://www.zomato.com/visakhapatnam/golden-alfa-biryanis-allipuram-vizag/order,3.2,₹200 for one,"Biryani, North Indian"
122,Foodies Dine,https://www.zomato.com/visakhapatnam/foodies-dine-dwaraka-nagar-vizag/order,4.0,₹200 for one,"Biryani, North Indian, Chinese, Desserts, Mughlai, Seafood, Shake"
123,B'Treats Restaurant,https://www.zomato.com/visakhapatnam/btreats-restaurant-balayya-sastri-layout-vizag/order,3.8,₹200 for one,"Biryani, South Indian, Chinese, North Indian"
124,The Legendairy Milkshakes,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-maddilapalem-vizag/order,4.4,₹200 for one,"Beverages, Shake"
125,Tibb's Frankie - Serving Rolls Since 1969,https://www.zomato.com/visakhapatnam/tibbs-frankie-serving-rolls-since-1969-kirlampudi-layout-vizag/order,3.8,₹200 for one,Rolls
126,Hotel Amaravati,https://www.zomato.com/visakhapatnam/hotel-amaravati-allipuram-vizag/order,4.0,₹200 for one,"North Indian, South Indian"
