,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
492,The Early Bird,https://www.zomato.com/visakhapatnam/the-early-bird-lawsons-bay-vizag/order,-,₹100 for one,"Healthy Food, Sandwich, Beverages"
493,SVT Biryani,https://www.zomato.com/visakhapatnam/svt-biryani-dwaraka-nagar-vizag/order,-,₹100 for one,"Biryani, Chinese, South Indian"
494,Caffeine Street,https://www.zomato.com/visakhapatnam/caffeine-street-mvp-colony-vizag/order,4.1,₹300 for one,"Fast Food, Desserts"
495,Zero The Resto Cafe,https://www.zomato.com/visakhapatnam/zero-the-resto-cafe-lawsons-bay-vizag/order,3.1,₹300 for one,"Pizza, Biryani, Chinese, Fast Food, Desserts, Beverages, Shake"
496,Special Punjabi Rasoi,https://www.zomato.com/visakhapatnam/special-punjabi-rasoi-allipuram-vizag/order,3.9,₹300 for one,"North Indian, Chinese, Biryani"
497,BR Food's,https://www.zomato.com/visakhapatnam/br-foods-5-venkojipalem-vizag/order,-,₹300 for one,"Biryani, Street Food, Chinese, South Indian"
498,Sai Krishna Parlour,https://www.zomato.com/visakhapatnam/sai-krishna-parlour-dwaraka-nagar-vizag/order,3.3,₹300 for one,South Indian
499,My Fried & Grilled,https://www.zomato.com/visakhapatnam/my-fried-grilled-maddilapalem-vizag/order,-,₹300 for one,"Fast Food, Pizza"
500,Srikanya Comfort,https://www.zomato.com/visakhapatnam/srikanya-comfort-siripuram-vizag/order,4.3,₹300 for one,"Andhra, Biryani, Chinese, Beverages"
501,Crispy's Fried Chicken And Burger's,https://www.zomato.com/visakhapatnam/crispys-fried-chicken-and-burgers-seethammadhara-vizag/order,3.6,₹300 for one,"Roast Chicken, Burger, Pizza, Fast Food, Beverages, Shake"
